,number,values_0,values_1,datetime_start,datetime_complete,duration,params_epochs,params_init_weights,params_log batch size,params_lr,params_weight_decay,system_attrs_nsga2:generation,state
0,0,1.0274501466385597,0.48236579161579163,2023-10-03 14:17:52.686387,2023-10-03 15:31:08.366145,0 days 01:13:15.679758,60,kaiming,1,3.376519890492079e-05,0.0027718497037406403,0,COMPLETE
1,1,1.7624427385894315,0.35,2023-10-03 15:31:08.379211,2023-10-03 16:13:00.866111,0 days 00:41:52.486900,50,kaiming,4,6.553806900218954e-05,0.00452901107114428,0,COMPLETE
2,2,0.9751711141318082,0.4,2023-10-03 16:13:00.869607,2023-10-03 16:23:58.425536,0 days 00:10:57.555929,10,xavier,5,1.182383282942704e-05,0.0039057294798231163,0,COMPLETE
3,3,4.9333855607855694,0.4989224137931035,2023-10-03 16:23:58.438695,2023-10-03 16:51:56.169867,0 days 00:27:57.731172,20,kaiming,0,0.00013587298951296448,0.00020682749713518136,0,COMPLETE
4,4,5.826323249058412,0.5213721264367817,2023-10-03 16:51:56.172719,2023-10-03 18:13:50.439832,0 days 01:21:54.267113,60,kaiming,0,0.00010793926672247924,0.0016334421371433908,0,COMPLETE
5,5,5.756099230927546,0.45714285714285713,2023-10-03 18:13:50.464232,2023-10-03 18:51:12.539996,0 days 00:37:22.075764,40,kaiming,3,0.0002902528370134458,0.0004783778759591935,0,COMPLETE
6,6,1.6714359983698361,0.5411579025549613,2023-10-03 18:51:12.549021,2023-10-03 19:27:43.114166,0 days 00:36:30.565145,35,xavier,2,5.804226086002979e-05,0.004823651196110735,0,COMPLETE
7,7,1.1227813378942233,0.44944317936964995,2023-10-03 19:27:43.117664,2023-10-03 19:58:54.671678,0 days 00:31:11.554014,30,kaiming,2,4.638318382514224e-05,0.0003088663780608929,0,COMPLETE
8,8,1.198677180494581,0.5666666666666667,2023-10-03 19:58:54.676022,2023-10-03 20:03:34.106325,0 days 00:04:39.430303,5,kaiming,4,1.1256396749080472e-05,0.00785987307351484,0,COMPLETE
9,9,1.988771016569808,0.3,2023-10-03 20:03:34.110221,2023-10-03 20:48:33.198347,0 days 00:44:59.088126,45,xavier,5,0.00010255845447017502,0.00031226369010611913,0,COMPLETE
10,10,1.050073087847024,0.5986965240641711,2023-10-03 20:48:33.202706,2023-10-03 21:28:03.944685,0 days 00:39:30.741979,35,xavier,2,2.452325054718093e-05,0.003916509689693394,0,COMPLETE
11,11,5.529535547585497,0.4605808080808081,2023-10-03 21:28:03.956197,2023-10-03 21:39:12.186541,0 days 00:11:08.230344,10,kaiming,2,0.0003893146654453771,0.0010987398087163947,0,COMPLETE
12,12,5.982910446215329,0.4801101528101528,2023-10-03 21:39:12.194251,2023-10-03 23:00:34.540172,0 days 01:21:22.345921,45,kaiming,0,0.00011987975850561674,0.0062221207374904735,0,COMPLETE
13,13,0.9374778077538524,0.6305555555555555,2023-10-03 23:00:34.563587,2023-10-03 23:41:01.532893,0 days 00:40:26.969306,30,xavier,3,7.2865469873556e-05,0.0018424044807669993,0,COMPLETE
14,14,0.7617490664124489,0.41666666666666663,2023-10-03 23:41:01.537456,2023-10-04 00:58:34.847610,0 days 01:17:33.310154,45,xavier,5,1.8650661998607993e-05,0.002806372514682422,0,COMPLETE
15,15,1.7600131027171533,0.5858050948787457,2023-10-04 00:58:34.854625,2023-10-04 02:19:40.861434,0 days 01:21:06.006809,30,xavier,0,1.9156033356487695e-05,0.00016785047213623062,0,COMPLETE
16,16,0.7142817859138761,0.6691666666666667,2023-10-04 02:19:40.868452,2023-10-04 02:38:04.614510,0 days 00:18:23.746058,10,xavier,3,1.3320545831336052e-05,0.004948045594782035,0,COMPLETE
17,17,5.462705815792463,0.5095714285714286,2023-10-04 02:38:04.618949,2023-10-04 04:45:18.612945,0 days 02:07:13.993996,60,kaiming,1,0.00011979247067599659,0.0005779995496103194,0,COMPLETE
18,18,0.7936364995581764,0.6500000000000001,2023-10-04 04:45:18.625647,2023-10-04 05:18:57.813715,0 days 00:33:39.188068,20,xavier,4,4.630137354030468e-05,0.001430115070403475,0,COMPLETE
19,19,3.600932103420939,0.4634328802479103,2023-10-04 05:18:57.816181,2023-10-04 06:25:46.176500,0 days 01:06:48.360319,50,xavier,0,8.933620879332287e-05,0.0035936808021365375,0,COMPLETE
20,20,0.7276487171649932,0.5599999999999999,2023-10-04 06:25:46.181735,2023-10-04 06:37:36.560218,0 days 00:11:50.378483,10,xavier,4,3.6508572487163534e-05,0.0015688084456870666,0,COMPLETE
21,21,2.9334660305281566,0.5480158730158731,2023-10-04 06:37:36.569711,2023-10-04 06:57:24.342421,0 days 00:19:47.772710,15,kaiming,2,0.000135353014917774,0.000592502554679211,0,COMPLETE
22,22,1.4866622603365354,0.3666666666666666,2023-10-04 06:57:24.346117,2023-10-04 07:50:11.099210,0 days 00:52:46.753093,45,kaiming,4,6.499741887691353e-05,0.0006439691202166316,0,COMPLETE
23,23,2.145156096859968,0.55,2023-10-04 07:50:11.107836,2023-10-04 08:03:23.181123,0 days 00:13:12.073287,15,kaiming,4,0.0001506093191208751,0.003974163447584436,0,COMPLETE
24,24,0.9346023182783808,0.5458333333333333,2023-10-04 08:03:23.184138,2023-10-04 09:23:42.619963,0 days 01:20:19.435825,60,kaiming,3,2.921581145837463e-05,0.003513483149635064,0,COMPLETE
25,25,5.788534100960979,0.5,2023-10-04 09:23:42.623332,2023-10-04 10:53:52.490961,0 days 01:30:09.867629,45,kaiming,0,0.0004630666696854113,0.0005978118364617309,0,COMPLETE
26,26,0.7989726859432548,0.6354039774401843,2023-10-04 10:53:52.494432,2023-10-04 11:13:52.008399,0 days 00:19:59.513967,10,kaiming,0,1.9321859209060488e-05,0.0009857593901245248,0,COMPLETE
27,27,5.397145357184234,0.5,2023-10-04 11:13:52.012775,2023-10-04 12:42:34.160538,0 days 01:28:42.147763,45,kaiming,0,0.00016473285373025325,0.0010095318651962746,0,COMPLETE
28,28,1.2511798623246404,0.4818017110191749,2023-10-04 12:42:34.175724,2023-10-04 13:57:31.214532,0 days 01:14:57.038808,45,xavier,1,3.9459510995454076e-05,0.0009345108488672417,0,COMPLETE
29,29,0.9603132813887776,0.5991087989386271,2023-10-04 13:57:31.221298,2023-10-04 14:13:21.328926,0 days 00:15:50.107628,10,kaiming,1,2.4126702969299364e-05,0.0017772180032398924,0,COMPLETE
30,30,1.0940157561942383,0.46635010233049445,2023-10-04 14:13:21.340794,2023-10-04 14:27:29.658173,0 days 00:14:08.317379,10,kaiming,2,4.990972273443438e-05,0.00031521884288680064,0,COMPLETE
31,31,0.7496375356401718,0.4333333333333334,2023-10-04 14:27:29.661034,2023-10-04 14:48:24.981542,0 days 00:20:55.320508,15,kaiming,4,5.209566907769859e-05,0.0001750959405537176,0,COMPLETE
32,32,1.6574814658268022,0.517888968918804,2023-10-04 14:48:24.990750,2023-10-04 16:05:46.580299,0 days 01:17:21.589549,40,kaiming,0,4.1438877397986004e-05,0.0010597624552425992,0,COMPLETE
33,33,6.937039246278073,0.4333333333333333,2023-10-04 16:05:46.588636,2023-10-04 17:20:58.378913,0 days 01:15:11.790277,55,kaiming,4,0.00028560594237094823,0.005902131905382429,0,COMPLETE
34,34,5.44422006078471,0.475,2023-10-04 17:20:58.382913,2023-10-04 18:40:11.988383,0 days 01:19:13.605470,55,xavier,5,0.00038795595856906185,0.0007791980215674192,0,COMPLETE
35,35,1.420317650513607,0.4333333333333333,2023-10-04 18:40:11.992762,2023-10-04 19:59:19.063440,0 days 01:19:07.070678,55,kaiming,5,0.0002844285425376531,0.00037384498955710896,0,COMPLETE
36,36,1.9866502759778606,0.48343537414965987,2023-10-04 19:59:19.066676,2023-10-04 20:47:18.026260,0 days 00:47:58.959584,40,xavier,3,0.00010441159335807094,0.00019716849858485846,0,COMPLETE
37,37,4.102753177861656,0.6017286391380845,2023-10-04 20:47:18.029812,2023-10-04 22:04:26.827466,0 days 01:17:08.797654,45,kaiming,0,1.4398574133216002e-05,0.003272039651792321,0,COMPLETE
38,38,6.414057643095099,0.5125,2023-10-04 22:04:26.832215,2023-10-04 22:34:45.838770,0 days 00:30:19.006555,25,kaiming,3,0.00037590905205723126,0.001954093528606942,0,COMPLETE
39,39,1.2161485316630984,0.5104421768707483,2023-10-04 22:34:45.842914,2023-10-04 22:39:19.606545,0 days 00:04:33.763631,5,kaiming,3,0.00011737441809121987,0.0029306596379748448,0,COMPLETE
40,40,1.1777631368488073,0.8166666666666667,2023-10-04 22:39:19.610277,2023-10-04 23:49:36.986234,0 days 01:10:17.375957,55,xavier,5,0.00013003277278667214,0.0010703520487376841,0,COMPLETE
41,41,0.8215721390865467,0.5624541716453482,2023-10-04 23:49:36.991111,2023-10-05 00:21:48.152123,0 days 00:32:11.161012,25,kaiming,2,2.9216011126545536e-05,0.00033972094850733,0,COMPLETE
42,42,6.071536934902802,0.5,2023-10-05 00:21:48.156869,2023-10-05 00:48:20.176033,0 days 00:26:32.019164,15,xavier,0,0.0004943104135220308,0.0031871374158905967,0,COMPLETE
43,43,1.0501074649393558,0.6487499999999999,2023-10-05 00:48:20.187889,2023-10-05 01:24:45.718949,0 days 00:36:25.531060,30,xavier,3,5.0495622196414626e-05,0.0013505353360924017,0,COMPLETE
44,44,1.5504011694078317,0.5455809853229208,2023-10-05 01:24:45.728245,2023-10-05 01:32:13.585540,0 days 00:07:27.857295,5,xavier,1,8.47775564207313e-05,0.0029442341881476086,0,COMPLETE
45,45,0.8179707755467722,0.6166666666666666,2023-10-05 01:32:13.592561,2023-10-05 02:31:01.952782,0 days 00:58:48.360221,50,xavier,4,0.00013958377534156746,0.0026877323938356333,0,COMPLETE
46,46,0.8541488257781514,0.5356570331381174,2023-10-05 02:31:01.956961,2023-10-05 02:59:56.599937,0 days 00:28:54.642976,20,xavier,1,2.4861868638736137e-05,0.0005831959639399216,0,COMPLETE
47,47,1.091113938334978,0.49283002424306777,2023-10-05 02:59:56.603567,2023-10-05 03:37:35.245258,0 days 00:37:38.641691,25,kaiming,1,6.398189634349665e-05,0.0005617988110112078,0,COMPLETE
48,48,4.2760612224152545,0.46875,2023-10-05 03:37:35.256982,2023-10-05 04:09:01.071389,0 days 00:31:25.814407,30,xavier,3,0.0003858596439440858,0.004077905323346734,0,COMPLETE
49,49,3.032277543891137,0.46446775446775446,2023-10-05 04:09:01.077660,2023-10-05 05:04:40.580146,0 days 00:55:39.502486,45,kaiming,2,0.000109544692943392,0.008086556776373762,0,COMPLETE
50,50,0.8840801775455475,0.5657818162229927,2023-10-05 05:04:40.586359,2023-10-05 05:36:04.508607,0 days 00:31:23.922248,25,kaiming,2,2.9216011126545536e-05,0.0017772180032398924,1,COMPLETE
51,51,2.003416958302949,0.42984718712659886,2023-10-05 05:36:04.513751,2023-10-05 06:11:24.411717,0 days 00:35:19.897966,30,xavier,2,7.2865469873556e-05,0.0018424044807669993,1,COMPLETE
52,52,0.7053478850258721,0.6843983957219252,2023-10-05 06:11:24.415519,2023-10-05 06:23:28.709166,0 days 00:12:04.293647,10,kaiming,2,1.3320545831336052e-05,0.00031521884288680064,1,COMPLETE
53,53,5.560560685309593,0.5,2023-10-05 06:23:28.712741,2023-10-05 07:25:08.353684,0 days 01:01:39.640943,45,xavier,1,0.00043891183083295587,0.0009345108488672417,1,COMPLETE
54,54,1.6803636758173313,0.5197207110993842,2023-10-05 07:25:08.367892,2023-10-05 07:54:09.680875,0 days 00:29:01.312983,20,kaiming,0,4.630137354030468e-05,0.001430115070403475,1,COMPLETE
55,55,3.3625347609146106,0.6423098932080192,2023-10-05 07:54:09.684748,2023-10-05 09:03:18.784004,0 days 01:09:09.099256,45,kaiming,0,1.615252912850721e-05,0.0015688084456870666,1,COMPLETE
56,56,0.8510972861732755,0.5166666666666667,2023-10-05 09:03:18.803842,2023-10-05 09:28:23.111235,0 days 00:25:04.307393,25,xavier,4,4.630137354030468e-05,0.0015688084456870666,1,COMPLETE
57,57,0.8541488257781514,0.5356570331381174,2023-10-05 09:28:23.117022,2023-10-05 09:52:50.063965,0 days 00:24:26.946943,20,xavier,1,2.4861868638736137e-05,0.0005831959639399216,1,COMPLETE
58,58,0.9966038856295132,0.570984603698924,2023-10-05 09:52:50.068154,2023-10-05 10:49:54.537826,0 days 00:57:04.469672,45,xavier,1,2.1675851697467125e-05,0.0009345108488672417,1,COMPLETE
59,59,0.6771815521376474,0.6320975056689344,2023-10-05 10:49:54.543884,2023-10-05 11:06:27.064951,0 days 00:16:32.521067,15,xavier,3,1.1256396749080472e-05,0.00785987307351484,1,COMPLETE
60,60,2.1954507049472474,0.6038888888888889,2023-10-05 11:06:27.071337,2023-10-05 11:14:58.961690,0 days 00:08:31.890353,10,kaiming,3,0.0001615480723059406,0.001954093528606942,1,COMPLETE
61,61,0.7470428679670605,0.585,2023-10-05 11:14:58.965309,2023-10-05 11:48:30.639473,0 days 00:33:31.674164,30,xavier,3,1.8650661998607993e-05,0.0013505353360924017,1,COMPLETE
62,62,1.3411995883617136,0.44652571466296964,2023-10-05 11:48:30.646343,2023-10-05 11:59:19.941512,0 days 00:10:49.295169,10,xavier,2,4.990972273443438e-05,0.0002461610291936366,1,COMPLETE
63,63,0.9385699182748795,0.4,2023-10-05 11:59:19.955384,2023-10-05 12:54:11.977526,0 days 00:54:52.022142,55,kaiming,5,2.921581145837463e-05,0.00018095816484261658,1,COMPLETE
64,64,5.854460631529654,0.5,2023-10-05 12:54:11.980796,2023-10-05 14:24:13.945509,0 days 01:30:01.964713,55,kaiming,0,0.00011737441809121987,0.0029306596379748448,1,COMPLETE
65,65,1.2004521087610294,0.6491298185941043,2023-10-05 14:24:13.950553,2023-10-05 15:10:38.332203,0 days 00:46:24.381650,40,xavier,3,0.00010441159335807094,0.0010703520487376841,1,COMPLETE
66,66,0.8005118109285831,0.2833333333333333,2023-10-05 15:10:38.339261,2023-10-05 15:32:08.316531,0 days 00:21:29.977270,20,kaiming,5,4.630137354030468e-05,0.0032507862505781696,1,COMPLETE
67,67,1.072551696319823,0.5118559218559218,2023-10-05 15:32:08.321037,2023-10-05 15:50:48.304787,0 days 00:18:39.983750,15,kaiming,2,4.473102260785695e-05,0.000592502554679211,1,COMPLETE
68,68,2.362270249146968,0.41666666666666663,2023-10-05 15:50:48.310301,2023-10-05 16:53:51.724831,0 days 01:03:03.414530,60,xavier,5,9.501798136941843e-05,0.0005831959639399216,1,COMPLETE
69,69,1.9815149124944582,0.5,2023-10-05 16:53:51.729468,2023-10-05 17:40:09.470931,0 days 00:46:17.741463,45,kaiming,5,0.00013003277278667214,0.0010703520487376841,1,COMPLETE
70,70,1.9151073440219886,0.4666135981150249,2023-10-05 17:40:09.479731,2023-10-05 18:44:42.017481,0 days 01:04:32.537750,45,kaiming,1,4.638318382514224e-05,0.0003088663780608929,1,COMPLETE
71,71,0.9557994789310864,0.6284722222222222,2023-10-05 18:44:42.024399,2023-10-05 19:20:33.849510,0 days 00:35:51.825111,30,xavier,3,0.000135353014917774,0.0009648730305008345,1,COMPLETE
72,72,6.249587426889671,0.5,2023-10-05 19:20:33.856584,2023-10-05 20:02:39.228002,0 days 00:42:05.371418,35,kaiming,3,0.00037590905205723126,0.001954093528606942,1,COMPLETE
73,73,1.7621137501938002,0.47000000000000003,2023-10-05 20:02:39.232486,2023-10-05 20:37:26.282209,0 days 00:34:47.049723,30,xavier,4,5.209566907769859e-05,0.00034879746840149514,1,COMPLETE
74,74,3.203769384305359,0.5306473504603565,2023-10-05 20:37:26.285330,2023-10-05 21:26:46.613279,0 days 00:49:20.327949,30,kaiming,0,7.2865469873556e-05,0.0018424044807669993,1,COMPLETE
75,75,3.032277543891137,0.46446775446775446,2023-10-05 21:26:46.616469,2023-10-05 22:18:33.368888,0 days 00:51:46.752419,45,kaiming,2,0.000109544692943392,0.008086556776373762,1,COMPLETE
76,76,5.397147917709804,0.5005072463768115,2023-10-05 22:18:33.372265,2023-10-05 23:13:46.654624,0 days 00:55:13.282359,45,xavier,0,0.00016473285373025325,0.0010095318651962746,1,COMPLETE
77,77,0.8294980855223196,0.5249439732833661,2023-10-05 23:13:46.672083,2023-10-05 23:25:50.228532,0 days 00:12:03.556449,10,kaiming,0,4.7930629481268146e-05,0.0015688084456870666,1,COMPLETE
78,78,5.691038963055265,0.5,2023-10-05 23:25:50.241424,2023-10-06 00:17:47.186829,0 days 00:51:56.945405,55,xavier,1,0.00038795595856906185,0.0017772180032398924,1,COMPLETE
79,79,1.4163933319901978,0.43667038027332145,2023-10-06 00:17:47.200412,2023-10-06 00:46:18.874654,0 days 00:28:31.674242,35,xavier,2,7.2865469873556e-05,0.0018424044807669993,1,COMPLETE
80,80,5.462705815792463,0.5095714285714286,2023-10-06 00:46:18.886821,2023-10-06 01:44:52.293188,0 days 00:58:33.406367,60,kaiming,1,0.00011979247067599659,0.0005779995496103194,1,COMPLETE
81,81,1.8215891423969055,0.4821345136345137,2023-10-06 01:44:52.296745,2023-10-06 02:48:41.420196,0 days 01:03:49.123451,60,kaiming,1,4.0775407689440165e-05,0.0005779995496103194,1,COMPLETE
82,82,0.8521756142377853,0.5833333333333333,2023-10-06 02:48:41.424271,2023-10-06 03:10:47.844642,0 days 00:22:06.420371,25,xavier,5,2.9216011126545536e-05,0.0039057294798231163,1,COMPLETE
83,83,1.1706853590905666,0.39333333333333337,2023-10-06 03:10:47.862823,2023-10-06 03:55:45.613191,0 days 00:44:57.750368,60,kaiming,4,5.209566907769859e-05,0.0034285641857537425,1,COMPLETE
84,84,1.1536707699831044,0.47750000000000004,2023-10-06 03:55:45.619840,2023-10-06 04:18:46.776158,0 days 00:23:01.156318,30,xavier,3,5.0495622196414626e-05,0.004077905323346734,1,COMPLETE
85,85,0.8043057650327683,0.48,2023-10-06 04:18:46.787365,2023-10-06 04:27:43.685800,0 days 00:08:56.898435,10,kaiming,4,1.1256396749080472e-05,0.004948045594782035,1,COMPLETE
86,86,0.7618161910346577,0.6049489795918367,2023-10-06 04:27:43.688880,2023-10-06 04:32:25.370177,0 days 00:04:41.681297,5,kaiming,3,3.6508572487163534e-05,0.003513483149635064,1,COMPLETE
87,87,5.9516728923247495,0.5052173913043478,2023-10-06 04:32:25.374904,2023-10-06 04:58:23.013282,0 days 00:25:57.638378,25,kaiming,1,0.00017262928298508094,0.00033972094850733,1,COMPLETE
88,88,0.8104205088956016,0.5499999999999999,2023-10-06 04:58:23.018573,2023-10-06 05:01:57.567991,0 days 00:03:34.549418,5,kaiming,4,6.499741887691353e-05,0.005006173780973869,1,COMPLETE
89,89,0.7390522001045091,0.6027777777777777,2023-10-06 05:01:57.571771,2023-10-06 05:50:34.092510,0 days 00:48:36.520739,55,xavier,3,1.3320545831336052e-05,0.004948045594782035,1,COMPLETE
90,90,5.982910446215329,0.4801101528101528,2023-10-06 05:50:34.123890,2023-10-06 06:46:27.782145,0 days 00:55:53.658255,45,kaiming,0,0.00011987975850561674,0.0062221207374904735,1,COMPLETE
91,91,4.214479334104856,0.45920351473922894,2023-10-06 06:46:27.801001,2023-10-06 07:17:34.093755,0 days 00:31:06.292754,40,kaiming,3,0.00020409349549859983,0.003513483149635064,1,COMPLETE
92,92,4.133388994020353,0.4855890534336561,2023-10-06 07:17:34.096829,2023-10-06 07:23:10.166102,0 days 00:05:36.069273,5,kaiming,0,0.00022846345359608464,0.005238185029556306,1,COMPLETE
93,93,3.5367635529086066,0.4833333333333333,2023-10-06 07:23:10.171449,2023-10-06 07:33:19.604971,0 days 00:10:09.433522,15,kaiming,4,0.0003697203471977118,0.003974163447584436,1,COMPLETE
94,94,1.1191717338349139,0.4451388888888889,2023-10-06 07:33:19.608997,2023-10-06 07:56:08.708099,0 days 00:22:49.099102,30,kaiming,3,8.47775564207313e-05,0.0013505353360924017,1,COMPLETE
95,95,0.9933848601366793,0.6183333333333334,2023-10-06 07:56:08.712178,2023-10-06 09:02:09.315172,0 days 01:06:00.602994,60,kaiming,4,0.0001886571877199848,0.0005976811241498927,1,COMPLETE
96,96,1.0517765281988043,0.37,2023-10-06 09:02:09.322268,2023-10-06 09:58:33.873613,0 days 00:56:24.551345,50,xavier,4,0.000109544692943392,0.0026877323938356333,1,COMPLETE
97,97,1.0931663534470966,0.5633333333333332,2023-10-06 09:58:33.877073,2023-10-06 10:31:13.118342,0 days 00:32:39.241269,30,kaiming,4,4.638318382514224e-05,0.0003088663780608929,1,COMPLETE
98,98,1.3468788526287034,0.5204166666666666,2023-10-06 10:31:13.123217,2023-10-06 11:04:32.524544,0 days 00:33:19.401327,30,kaiming,3,7.2865469873556e-05,0.0018424044807669993,1,COMPLETE
99,99,1.035387398785463,0.5282537805331924,2023-10-06 11:04:32.548666,2023-10-06 11:40:04.596883,0 days 00:35:32.048217,30,kaiming,2,4.638318382514224e-05,0.00039212941694865774,1,COMPLETE
